"","AT","AP","AH","AFDP","GTEP","TIT","TAT","CO","NOX"
"1",-1.76236823404725,0.927809029068631,0.401428745412692,-0.448005836104829,-0.377679018285771,0.271007086776538,0.582637581085263,-1.34282012855012,1.6692163187088
"2",-1.80192596599884,0.862066273073461,0.440515133827666,-0.454685669042714,-0.384356541661557,0.265222211093837,0.630236795818263,-1.24849758832591,1.71042308380097
"3",-1.85411907668989,0.878501962072254,0.483998740939324,-0.438463217622138,-0.375055705530999,0.288361713824615,0.660527205193842,-1.24569615985625,1.84606605877498
"4",-1.87572409729753,0.862066273073461,0.52420188330901,-0.441189680045764,-0.393895860769821,0.288361713824615,0.656200003854456,-1.41718249092802,1.72283359187579
"5",-1.87464988869056,0.779887828079518,0.506613008522273,-0.44487040431766,-0.392464962903582,0.253652459728462,0.61941879246986,-1.38885693640149,1.67658505787822
"6",-1.85663003930868,0.763452139080745,0.420343765520653,-0.439008510106864,-0.395803724591475,0.25943733541115,0.615091591130498,-1.41433437198387,1.64943707146455
"7",-1.88564709930439,0.812759206077103,0.432069682045145,-0.44173497253049,-0.399142486279368,0.253652459728462,0.628073195148582,-1.25139239774455,1.92518304775196
"8",-1.89645632341201,0.845630584074688,0.414829792869255,-0.445415696802385,-0.402242764989553,0.25943733541115,0.593455584433667,-0.974486757010427,1.88649716711248
"9",-1.8801283525861,0.894937651071046,0.490280481934587,-0.411334916507059,-0.382925643795317,0.276791962459226,0.615091591130498,-1.06008596024996,1.86565139183056
"10",-1.73010169301545,0.894937651071046,0.518059736558086,-0.529799708813612,-0.510514036868361,0.0916759406130468,0.576146779076196,-0.796954009491644,1.73728019893164
"11",-1.56825873876816,0.878501962072254,0.56747609905416,-0.449369067316642,-0.375294188508705,0.247867584045761,0.628073195148582,-0.802167779143506,1.6692163187088
"12",-1.30558787914935,0.796323517078311,0.671264419720347,0.662618632159253,1.08875281163226,0.751151768440056,-1.99853801784618,-0.863238919782036,0.828986139205738
